schema_name,table_name,db_column_ordinal,db_column_name,pg_type,pdf_table_no,pdf_table_title,pdf_record_length,tecdoc_physical_order,pos_0based_start,pos_0based_end_exclusive,pos_0based_range,pos_1based_from,pos_1based_to_inclusive,pos_1based_range_inclusive,field_length,tecdoc_field_type,tecdoc_name,tecdoc_old_name,postgresql_substring_example,mapping_note
tecdoc_gheorghe,t001,1,dlnr,varchar(4),001,Header,58,1,0,4,0-3,1,4,1-4,4,N,BrandNo,DlNr,trim(substring($1::text FROM 1 FOR 4)),matched_pdf_field
tecdoc_gheorghe,t001,2,sa,varchar(3),001,Header,58,2,4,7,4-6,5,7,5-7,3,N,TableNo,SA,trim(substring($1::text FROM 5 FOR 3)),matched_pdf_field
tecdoc_gheorghe,t001,3,release,varchar(4),001,Header,58,3,7,11,7-10,8,11,8-11,4,N,Data Release,Data Release,trim(substring($1::text FROM 8 FOR 4)),matched_pdf_field
tecdoc_gheorghe,t001,4,datum,varchar(8),001,Header,58,4,11,19,11-18,12,19,12-19,8,N,VersionDate,Datum,trim(substring($1::text FROM 12 FOR 8)),matched_pdf_field
tecdoc_gheorghe,t001,5,kzvoll,varchar(1),001,Header,58,5,19,20,19-19,20,20,20-20,1,N,Full KZVoll,,trim(substring($1::text FROM 20 FOR 1)),matched_pdf_field
tecdoc_gheorghe,t001,6,khernr,varchar(6),001,Header,58,6,20,26,20-25,21,26,21-26,6,N,ManNo,HerNr,trim(substring($1::text FROM 21 FOR 6)),matched_pdf_field
tecdoc_gheorghe,t001,7,marke,varchar(20),001,Header,58,7,26,46,26-45,27,46,27-46,20,U,BrandName,Marke,trim(substring($1::text FROM 27 FOR 20)),matched_pdf_field
tecdoc_gheorghe,t001,8,referenzdat,varchar(4),001,Header,58,8,46,50,46-49,47,50,47-50,4,N,RefDataVersion,Referenzdaten,trim(substring($1::text FROM 47 FOR 4)),matched_pdf_field
tecdoc_gheorghe,t001,9,vorversion,varchar(4),001,Header,58,9,50,54,50-53,51,54,51-54,4,N,Reserved,Vorversion,trim(substring($1::text FROM 51 FOR 4)),matched_pdf_field
tecdoc_gheorghe,t001,10,format,varchar(3),001,Header,58,10,54,57,54-56,55,57,55-57,3,C,Format,Format,trim(substring($1::text FROM 55 FOR 3)),matched_pdf_field
tecdoc_gheorghe,t001,11,lflag,varchar(1),001,Header,58,11,57,58,57-57,58,58,58-58,1,N,DeleteFlag,Lösch -Flag,trim(substring($1::text FROM 58 FOR 1)),matched_pdf_field
tecdoc_gheorghe,t010,1,lkz,varchar(3),010,Country Table,71,4,29,32,29-31,30,32,30-32,3,C,CountryCode,CountryCode,trim(substring($1::text FROM 30 FOR 3)),matched_pdf_field
tecdoc_gheorghe,t010,2,reserviert,varchar(22),010,Country Table,71,1,0,22,0-21,1,22,1-22,22,C,Reserved,Reserviert,trim(substring($1::text FROM 1 FOR 22)),matched_pdf_field
tecdoc_gheorghe,t010,3,dlnr,varchar(4),010,Country Table,71,2,22,26,22-25,23,26,23-26,4,N,BrandNo,DLNr,trim(substring($1::text FROM 23 FOR 4)),matched_pdf_field
tecdoc_gheorghe,t010,4,sa,varchar(3),010,Country Table,71,3,26,29,26-28,27,29,27-29,3,N,TableNo,SA,trim(substring($1::text FROM 27 FOR 3)),matched_pdf_field
tecdoc_gheorghe,t010,5,verkehr,varchar(1),010,Country Table,71,6,41,42,41-41,42,42,42-42,1,C,Traffic,Verkehr,trim(substring($1::text FROM 42 FOR 1)),matched_pdf_field
tecdoc_gheorghe,t010,6,warnr,varchar(3),010,Country Table,71,7,42,45,42-44,43,45,43-45,3,N,CurNo,WarNr,trim(substring($1::text FROM 43 FOR 3)),matched_pdf_field
tecdoc_gheorghe,t010,7,wkz,varchar(3),010,Country Table,71,8,45,48,45-47,46,48,46-48,3,C,CurCode,WKZ,trim(substring($1::text FROM 46 FOR 3)),matched_pdf_field
tecdoc_gheorghe,t010,8,warbeznr,varchar(9),010,Country Table,71,9,48,57,48-56,49,57,49-57,9,N,CurTermNo,WarBezNr,trim(substring($1::text FROM 49 FOR 9)),matched_pdf_field
tecdoc_gheorghe,t010,9,vorwahl,varchar(5),010,Country Table,71,10,57,62,57-61,58,62,58-62,5,C,AreaCode,Vorwahl,trim(substring($1::text FROM 58 FOR 5)),matched_pdf_field
tecdoc_gheorghe,t010,10,lstgruppe,varchar(1),010,Country Table,71,11,62,63,62-62,63,63,63-63,1,N,IsGroup,IstGruppe,trim(substring($1::text FROM 63 FOR 1)),matched_pdf_field
tecdoc_gheorghe,t010,11,isocode2,varchar(2),010,Country Table,71,12,63,65,63-64,64,65,64-65,2,C,ISOCode2,ISOCode2,trim(substring($1::text FROM 64 FOR 2)),matched_pdf_field
tecdoc_gheorghe,t010,12,isocode3,varchar(3),010,Country Table,71,13,65,68,65-67,66,68,66-68,3,C,ISOCode3,ISOCode3,trim(substring($1::text FROM 66 FOR 3)),matched_pdf_field
tecdoc_gheorghe,t010,13,isocodenr,varchar(3),010,Country Table,71,14,68,71,68-70,69,71,69-71,3,N,ISOCodeNo,ISOCodeNr,trim(substring($1::text FROM 69 FOR 3)),matched_pdf_field
tecdoc_gheorghe,t010,14,lflag,varchar(1),010,Country Table,71,,,,,,,,,,,,,ddl_column_not_in_standard_pdf_field_list
tecdoc_gheorghe,t010,15,beznr,varchar(9),010,Country Table,71,5,32,41,32-40,33,41,33-41,9,N,TermNo,BezNr,trim(substring($1::text FROM 33 FOR 9)),matched_pdf_field
tecdoc_gheorghe,t012,1,lbeznr,varchar(9),012,Country and Language-dependent Descriptions,104,4,29,38,29-37,30,38,30-38,9,N,CTermNo,LBezNr,trim(substring($1::text FROM 30 FOR 9)),matched_pdf_field
tecdoc_gheorghe,t012,2,lkz,varchar(3),012,Country and Language-dependent Descriptions,104,5,38,41,38-40,39,41,39-41,3,C,CountryCode,LKZ,trim(substring($1::text FROM 39 FOR 3)),matched_pdf_field
tecdoc_gheorghe,t012,3,sprachnr,varchar(3),012,Country and Language-dependent Descriptions,104,6,41,44,41-43,42,44,42-44,3,N,LanguageNo,LangNo,trim(substring($1::text FROM 42 FOR 3)),matched_pdf_field
tecdoc_gheorghe,t012,4,reserviert,varchar(22),012,Country and Language-dependent Descriptions,104,1,0,22,0-21,1,22,1-22,22,C,Reserved,Reserviert,trim(substring($1::text FROM 1 FOR 22)),matched_pdf_field
tecdoc_gheorghe,t012,5,dlnr,varchar(4),012,Country and Language-dependent Descriptions,104,2,22,26,22-25,23,26,23-26,4,N,BrandNo,DLNr,trim(substring($1::text FROM 23 FOR 4)),matched_pdf_field
tecdoc_gheorghe,t012,6,sa,varchar(3),012,Country and Language-dependent Descriptions,104,3,26,29,26-28,27,29,27-29,3,N,TableNo,SA,trim(substring($1::text FROM 27 FOR 3)),matched_pdf_field
tecdoc_gheorghe,t012,7,bez,varchar(60),012,Country and Language-dependent Descriptions,104,7,44,104,44-103,45,104,45-104,60,U,Term Bez,,trim(substring($1::text FROM 45 FOR 60)),matched_pdf_field
tecdoc_gheorghe,t012,8,lflag,varchar(1),012,Country and Language-dependent Descriptions,104,,,,,,,,,,,,,ddl_column_not_in_standard_pdf_field_list
tecdoc_gheorghe,t014,1,dokumentenart,varchar(2),014,Document Types,43,4,29,31,29-30,30,31,30-31,2,N,DocType,DokumentenArt,trim(substring($1::text FROM 30 FOR 2)),matched_pdf_field
tecdoc_gheorghe,t014,2,reserviert,varchar(22),014,Document Types,43,1,0,22,0-21,1,22,1-22,22,C,Reserved,Reserviert,trim(substring($1::text FROM 1 FOR 22)),matched_pdf_field
tecdoc_gheorghe,t014,3,dlnr,varchar(4),014,Document Types,43,2,22,26,22-25,23,26,23-26,4,N,BrandNo,DLNr,trim(substring($1::text FROM 23 FOR 4)),matched_pdf_field
tecdoc_gheorghe,t014,4,sa,varchar(3),014,Document Types,43,3,26,29,26-28,27,29,27-29,3,N,TableNo,SA,trim(substring($1::text FROM 27 FOR 3)),matched_pdf_field
tecdoc_gheorghe,t014,5,beznr,varchar(9),014,Document Types,43,5,31,40,31-39,32,40,32-40,9,N,TermNo,BezNr,trim(substring($1::text FROM 32 FOR 9)),matched_pdf_field
